# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=sauvetage
# Date=19:13:40
# CreatedBy=Fritzing 1.0.3b.2024-05-30.CD-1995-0-a7811ba0
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
A1,";;;;;;;;","",1080.26,424.894,180,Top,MANUAL
B_Close,";;;;;;;;","THT",79.9344,1083.75,180,Top,THT
B_Up,";;;;;;;;","THT",79.9344,1383.75,180,Top,THT
R1,"220;;;;;0.25W;;;","THT",1229.93,1183.75,180,Top,THT
B_Close3,";;;;;;;;","THT",2019.58,95.5074,90,Top,THT
End_Close,";;;;;;;;","THT",79.9344,683.752,0,Top,THT
B_Close1,";;;;;;;;","THT",1366.91,1635.91,-90,Top,THT
LED1,";;;;0.030A;;;;","5 mm [THT]",805.573,1183.75,90,Top,THT
B_Close4,";;;;;;;;","THT",1980.26,1481.08,90,Top,THT
B_Close2,";;;;;;;;","THT",584.039,1637.52,-90,Top,THT
End_Up,";;;;;;;;","THT",79.9344,383.752,0,Top,THT
